Carpeta;Fichero;CuentaNIF;Ultimo acceso;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\;Magnify.lnk;0;29/09/2017 13:41:39;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\;desktop.ini;0;04/07/2018 9:57:26;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\SendTo\;Documentos.mydocs;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\SendTo\;Mail Recipient.MAPIMail;0;29/09/2017 13:44:24;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\;On-Screen Keyboard.lnk;0;29/09/2017 13:41:40;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\SendTo\;Desktop.ini;0;29/09/2017 13:44:24;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\SendTo\;Compressed (zipped) Folder.ZFSendToTarget;0;29/09/2017 13:44:24;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\;5d696d521de238c3.customDestinations-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\SendTo\;Fax Recipient.lnk;0;29/09/2017 13:43:10;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\;Personalización.lnk;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\;9d1f905ce5044aee.customDestinations-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\SendTo\;Transferencia de archivos Bluetooth.LNK;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\;7e4dca80246863e3.automaticDestinations-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\;5f7b5f1e01b83767.automaticDestinations-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\;f01b4d95cf55d32a.automaticDestinations-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Libraries\;Documents.library-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Libraries\;Music.library-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Libraries\;Pictures.library-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Libraries\;Videos.library-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Libraries\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\;7e4dca80246863e3.customDestinations-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\;f01b4d95cf55d32a.customDestinations-ms;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\;desktop.ini;0;29/09/2017 13:44:29;
c:\Users\Default\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\;Google Chrome.lnk;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\;Window Switcher.lnk;0;29/09/2017 13:42:08;
c:\Users\Default\AppData\Roaming\ICAClient\;wfcwin32.log;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\;Shows Desktop.lnk;0;29/09/2017 13:42:08;
c:\Users\Default\AppData\LocalLow\Sun\Java\Deployment\;deployment.properties;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\ICAClient\;APPSRV.INI;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\;File Explorer.lnk;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\ICAClient\;WFCLIENT.INI;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\;desktop.ini;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\LocalLow\Microsoft\CryptnetUrlCache\Content\;77EC63BDA74BD0D0E0426DC8F8008506;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\LocalLow\Microsoft\CryptnetUrlCache\Content\;57C8EDB95DF3F0AD4EE2DC2B8CFD4157;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\LocalLow\Microsoft\CryptnetUrlCache\Content\;FB0D848F74F70BB2EAA93746D24D9749;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\;FB0D848F74F70BB2EAA93746D24D9749;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\;57C8EDB95DF3F0AD4EE2DC2B8CFD4157;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\;77EC63BDA74BD0D0E0426DC8F8008506;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\TileDataLayer\Database\;EDB.chk;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\TileDataLayer\Database\;EDB00003.log;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\TileDataLayer\Database\;vedatamodel.edb;1;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\TileDataLayer\Database\;vedatamodel.jfm;0;13/06/2018 7:54:50;
c:\Users\Default\AppData\Local\Packages\Windows.PurchaseDialog_cw5n1h2txyewy\Windows.PurchaseDialog_6.2.0.0_neutral_neutral_cw5n1h2txyewy\ActivationStore\;ActivationStore.dat.LOG2;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PurchaseDialog_cw5n1h2txyewy\Settings\;roaming.lock;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\TileDataLayer\Database\;EDB.log;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PurchaseDialog_cw5n1h2txyewy\Settings\;settings.dat;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PurchaseDialog_cw5n1h2txyewy\Settings\;settings.dat.LOG2;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PrintDialog_cw5n1h2txyewy\Settings\;roaming.lock;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PurchaseDialog_cw5n1h2txyewy\Settings\;settings.dat.LOG1;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PrintDialog_cw5n1h2txyewy\Settings\;settings.dat.LOG1;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PrintDialog_cw5n1h2txyewy\Settings\;settings.dat;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PrintDialog_cw5n1h2txyewy\Settings\;settings.dat.LOG2;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.PurchaseDialog_cw5n1h2txyewy\Windows.PurchaseDialog_6.2.0.0_neutral_neutral_cw5n1h2txyewy\ActivationStore\;ActivationStore.dat.LOG1;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.MiracastView_cw5n1h2txyewy\Settings\;roaming.lock;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.MiracastView_cw5n1h2txyewy\Settings\;settings.dat.LOG2;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\Settings\;roaming.lock;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.MiracastView_cw5n1h2txyewy\Settings\;settings.dat;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\Windows.MiracastView_cw5n1h2txyewy\Settings\;settings.dat.LOG1;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\Settings\;settings.dat.LOG2;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\Settings\;settings.dat;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\Settings\;settings.dat.LOG1;0;09/12/2015 8:13:32;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;aaa_Classic_{241d7c96-f8bf-4f85-b01f-e2b043341a4b}.settingcontent-ms;0;09/12/2015 8:13:33;
